url;isMobile;score;failedAudits;report;time
=HYPERLINK("https://airhorner.com/");true;100;;=HYPERLINK("https://lighthouse-keeper.firebaseapp.com/?file=https%3A%2F%2Fwww.googleapis.com%2Fdownload%2Fstorage%2Fv1%2Fb%2Flighthouse-keeper.appspot.com%2Fo%2F2018-02-11%252Fairhorner.com_2018-02-11.mobile.json%3Fgeneration%3D1518386886925986%26alt%3Dmedia");12.444
=HYPERLINK("https://www.contactsdirect.com/");true;27;first-meaningful-paint,load-fast-enough-for-pwa,speed-index-metric,screenshot-thumbnails,estimated-input-latency,first-interactive,consistently-interactive,user-timings,offscreen-images,link-blocking-first-paint,script-blocking-first-paint;=HYPERLINK("https://lighthouse-keeper.firebaseapp.com/?file=https%3A%2F%2Fwww.googleapis.com%2Fdownload%2Fstorage%2Fv1%2Fb%2Flighthouse-keeper.appspot.com%2Fo%2F2018-02-11%252Fcontactsdirect.com_2018-02-11.mobile.json%3Fgeneration%3D1518386888234198%26alt%3Dmedia");40.296
=HYPERLINK("https://m.aliexpress.com/");true;36;first-meaningful-paint,load-fast-enough-for-pwa,speed-index-metric,screenshot-thumbnails,estimated-input-latency,first-interactive,consistently-interactive,user-timings,offscreen-images,link-blocking-first-paint,script-blocking-first-paint;=HYPERLINK("https://lighthouse-keeper.firebaseapp.com/?file=https%3A%2F%2Fwww.googleapis.com%2Fdownload%2Fstorage%2Fv1%2Fb%2Flighthouse-keeper.appspot.com%2Fo%2F2018-02-11%252Fm.aliexpress.com_2018-02-11.mobile.json%3Fgeneration%3D1518386888693058%26alt%3Dmedia");29.661
=HYPERLINK("https://m.forbes.com/");true;73;;=HYPERLINK("https://lighthouse-keeper.firebaseapp.com/?file=https%3A%2F%2Fwww.googleapis.com%2Fdownload%2Fstorage%2Fv1%2Fb%2Flighthouse-keeper.appspot.com%2Fo%2F2018-02-11%252Fm.forbes.com_2018-02-11.mobile.json%3Fgeneration%3D1518386909999759%26alt%3Dmedia");42.295
=HYPERLINK("http://m.gva.be/");true;36;;=HYPERLINK("https://lighthouse-keeper.firebaseapp.com/?file=https%3A%2F%2Fwww.googleapis.com%2Fdownload%2Fstorage%2Fv1%2Fb%2Flighthouse-keeper.appspot.com%2Fo%2F2018-02-11%252Fm.gva.be_2018-02-11.mobile.json%3Fgeneration%3D1518386911696544%26alt%3Dmedia");38.969
=HYPERLINK("http://m.hbvl.be/");true;27;;=HYPERLINK("https://lighthouse-keeper.firebaseapp.com/?file=https%3A%2F%2Fwww.googleapis.com%2Fdownload%2Fstorage%2Fv1%2Fb%2Flighthouse-keeper.appspot.com%2Fo%2F2018-02-11%252Fm.hbvl.be_2018-02-11.mobile.json%3Fgeneration%3D1518386904753595%26alt%3Dmedia");39.147
=HYPERLINK("https://m.limburger.nl/");true;36;first-meaningful-paint,load-fast-enough-for-pwa,speed-index-metric,screenshot-thumbnails,estimated-input-latency,first-interactive,consistently-interactive,user-timings,offscreen-images,link-blocking-first-paint,script-blocking-first-paint;=HYPERLINK("https://lighthouse-keeper.firebaseapp.com/?file=https%3A%2F%2Fwww.googleapis.com%2Fdownload%2Fstorage%2Fv1%2Fb%2Flighthouse-keeper.appspot.com%2Fo%2F2018-02-11%252Fm.limburger.nl_2018-02-11.mobile.json%3Fgeneration%3D1518386898172952%26alt%3Dmedia");42.936
=HYPERLINK("https://m.nieuwsblad.be/");true;55;;=HYPERLINK("https://lighthouse-keeper.firebaseapp.com/?file=https%3A%2F%2Fwww.googleapis.com%2Fdownload%2Fstorage%2Fv1%2Fb%2Flighthouse-keeper.appspot.com%2Fo%2F2018-02-11%252Fm.nieuwsblad.be_2018-02-11.mobile.json%3Fgeneration%3D1518386902501165%26alt%3Dmedia");53.977
=HYPERLINK("http://m.standaard.be/");true;27;;=HYPERLINK("https://lighthouse-keeper.firebaseapp.com/?file=https%3A%2F%2Fwww.googleapis.com%2Fdownload%2Fstorage%2Fv1%2Fb%2Flighthouse-keeper.appspot.com%2Fo%2F2018-02-11%252Fm.standaard.be_2018-02-11.mobile.json%3Fgeneration%3D1518386897518104%26alt%3Dmedia");34.749
=HYPERLINK("https://mcdcc.org/");true;36;first-meaningful-paint,load-fast-enough-for-pwa,speed-index-metric,screenshot-thumbnails,estimated-input-latency,first-interactive,consistently-interactive,user-timings,offscreen-images,link-blocking-first-paint,script-blocking-first-paint;=HYPERLINK("https://lighthouse-keeper.firebaseapp.com/?file=https%3A%2F%2Fwww.googleapis.com%2Fdownload%2Fstorage%2Fv1%2Fb%2Flighthouse-keeper.appspot.com%2Fo%2F2018-02-11%252Fmcdcc.org_2018-02-11.mobile.json%3Fgeneration%3D1518386902154093%26alt%3Dmedia");1044.844
=HYPERLINK("http://mo.m.taobao.com/dpold");true;36;;=HYPERLINK("https://lighthouse-keeper.firebaseapp.com/?file=https%3A%2F%2Fwww.googleapis.com%2Fdownload%2Fstorage%2Fv1%2Fb%2Flighthouse-keeper.appspot.com%2Fo%2F2018-02-11%252Fmo.m.taobao.com_2018-02-11.mobile.json%3Fgeneration%3D1518386892993716%26alt%3Dmedia");20.586
